epoch,loss,phase_acc,pos_acc
1,9.769230820291796,0.9966,0.9949
2,0.00047814197296247585,1.0,1.0
3,0.00038819519136268354,1.0,1.0
4,0.0003143284942552782,1.0,1.0
5,0.0002619398552496932,1.0,1.0
6,0.0002234334573358865,1.0,1.0
7,0.0001939701776336733,1.0,1.0
8,0.00016678117469837161,1.0,1.0
9,0.00014428230247176543,1.0,1.0
10,0.00012579370206822205,1.0,1.0
11,0.00011098009298393663,1.0,1.0
12,9.848361690956153e-05,1.0,1.0
13,8.851101696905062e-05,1.0,1.0
14,8.010676455683097e-05,1.0,1.0
15,7.160193121080738e-05,1.0,1.0
16,6.385519202467549e-05,1.0,1.0
17,5.720927418906285e-05,1.0,1.0
18,5.1900735599019754e-05,1.0,1.0
19,4.7082073308502004e-05,1.0,1.0
20,4.2656430622400876e-05,1.0,1.0
