epoch,loss,phase_acc,pos_acc
1,8.746923858724585,0.9954,0.9938
2,0.000358591585609247,1.0,1.0
3,0.00022790727598476224,1.0,1.0
4,0.00016487557655864293,1.0,1.0
5,0.00012773637959639927,1.0,1.0
6,0.00010439561094699457,1.0,1.0
7,8.878294056557934e-05,1.0,1.0
8,7.715632011695561e-05,1.0,1.0
9,6.835346914613183e-05,1.0,1.0
10,6.128659825321847e-05,1.0,1.0
11,5.5469561800691736e-05,1.0,1.0
12,5.036591574025806e-05,1.0,1.0
13,4.6150749952289516e-05,1.0,1.0
14,4.2723482934547974e-05,1.0,1.0
15,3.980471834097443e-05,1.0,1.0
16,3.716535150033451e-05,1.0,1.0
17,3.4784892804395895e-05,1.0,1.0
18,3.2545994145039e-05,1.0,1.0
19,3.052316159823931e-05,1.0,1.0
20,2.8615812979637667e-05,1.0,1.0
